작성일,키워드,카페명,제목,링크,수집시점
2025-12-16 (New),일렉링크,"전기차동호회-아이오닉5 6 9,EV3 EV4 EV5 EV6 EV9,테슬라모델Y 3",전국 도속도로 전기충전소앱은 통일인가요?,https://cafe.naver.com/allfm01/1921003?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImFsbGZtMDEiLCJhcnRpY2xlSWQiOjE5MjEwMDMsImlzc3VlZEF0IjoxNzY1ODQ0NDE3NzQ3fQ.99BdUIM5_bl7ovm4VtxRgeNG3EciGbmI_mZztTC4aZQ,2025-12-16 00:20
2025-12-16 (New),일렉링크,"전기차동호회-아이오닉5 6 9,EV3 EV4 EV5 EV6 EV9,테슬라모델Y 3",SK일렉링크 45000원 판매합니다,https://cafe.naver.com/allfm01/1920998?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImFsbGZtMDEiLCJhcnRpY2xlSWQiOjE5MjA5OTgsImlzc3VlZEF0IjoxNzY1ODQ0NDE3NzQ3fQ.2k4QYO0OkekoL_sWO6gVl0Uo-_HZZcXGbXOIIvm4gmk,2025-12-16 00:20
2025-12-16 (New),일렉링크,"전기차동호회-아이오닉5 6 9,EV3 EV4 EV5 EV6 EV9,테슬라모델Y 3",정품 현대 전기차 충전기 저렴히 판매,https://cafe.naver.com/allfm01/1920985?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImFsbGZtMDEiLCJhcnRpY2xlSWQiOjE5MjA5ODUsImlzc3VlZEF0IjoxNzY1ODQ0NDE3NzQ3fQ.j_VE4aDTbjWHnKM7oeEpGJJl02k0mrEkaa0SivHU1m8,2025-12-16 00:20
2025-12-16 (New),일렉링크,★BYD 비야디 전기차 공식동호회[BYD 오너스]아토3 씰 씨라이언7,씨라이언7 예약 충전 하는 방법,https://cafe.naver.com/rlfnrl2034/2035514?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InJsZm5ybDIwMzQiLCJhcnRpY2xlSWQiOjIwMzU1MTQsImlzc3VlZEF0IjoxNzY1ODQ0NDE3NzQ3fQ.eqjp2McQmTU8oZYCXQnh4FQSQTMCIlxCi93Ft9MVVVU,2025-12-16 00:20
2025-12-16 (New),일렉링크,"전기차동호회-아이오닉5 6 9,EV3 EV4 EV5 EV6 EV9,테슬라모델Y 3","SK일렉링크 마일리지 사용방법, 사용처??",https://cafe.naver.com/allfm01/1920566?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImFsbGZtMDEiLCJhcnRpY2xlSWQiOjE5MjA1NjYsImlzc3VlZEF0IjoxNzY1ODQ0NDE3NzQ3fQ.YWuA7TejAm5fsKuH1_qAIGgCAQFabIifBeFLNbRs-RM,2025-12-16 00:20
2025-12-16 (New),워터,★ 대한민국 경차 동호회 ★ 스파크 레이 EV 캐스퍼 모닝,차량 변경 고민하고 있어요. 그랜저 ig 초기형. lpg,https://cafe.naver.com/m300club/2269426?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Im0zMDBjbHViIiwiYXJ0aWNsZUlkIjoyMjY5NDI2LCJpc3N1ZWRBdCI6MTc2NTg0NDQ0ODk1NX0.VmhifihiXITSEHELhv3_bzPZF20oCeVuzWPyx3jLo0g,2025-12-16 00:21
2025-12-16 (New),워터,"전기차동호회-아이오닉5 6 9,EV3 EV4 EV5 EV6 EV9,테슬라모델Y 3",전국 도속도로 전기충전소앱은 통일인가요?,https://cafe.naver.com/allfm01/1921003?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImFsbGZtMDEiLCJhcnRpY2xlSWQiOjE5MjEwMDMsImlzc3VlZEF0IjoxNzY1ODQ0NDUwMTUyfQ.hiqF2WYbhpaBgFSkCDMKo0L4bPOwnStZHgwIwzoZ-Ek,2025-12-16 00:21
2025-12-16 (New),워터,★테슬라 [TKC] 모델S 모델3 모델X 모델Y 사이버트럭 FSD 전기차,고속도로 휴게소 충전기 종류,https://cafe.naver.com/noljatravel/1441478?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Im5vbGphdHJhdmVsIiwiYXJ0aWNsZUlkIjoxNDQxNDc4LCJpc3N1ZWRBdCI6MTc2NTg0NDQ1Mzg2MX0.ylkd4LW4aUmF59tHCxo9nRmhlg6FNNkMo8s37QYZRn4,2025-12-16 00:21
2025-12-16 (New),워터,"제네시스 G80,GV80,GV70,GV60,G90,G70,eG80,DH,전기차[제클]",정비하고왔습니다,https://cafe.naver.com/newgenesisdh/2247090?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Im5ld2dlbmVzaXNkaCIsImFydGljbGVJZCI6MjI0NzA5MCwiaXNzdWVkQXQiOjE3NjU4NDQ0NTUxNTh9.BRChBz7XYQbEVwo7IF7Dcf2UBNDv47qjfr06ZmMgCco,2025-12-16 00:21
2025-12-16 (New),워터,넥쏘수소차카페-수소전기차 넥쏘카페/스택 책임 보증 카페,넥쏘는 폐차비 얼마 나올까요?,https://cafe.naver.com/nexoguarantee/29653?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Im5leG9ndWFyYW50ZWUiLCJhcnRpY2xlSWQiOjI5NjUzLCJpc3N1ZWRBdCI6MTc2NTg0NDQ1NjMyNX0.DC20jWocS8FTYC1YVccNzltkvzGvdDfcu2ZY5Meq9zA,2025-12-16 00:21
